date,timestamp,hr_value
2026-02-25,1771989600000,77
2026-02-25,1771989720000,70
2026-02-25,1771989840000,84
2026-02-25,1771989960000,78
2026-02-25,1771990080000,80
2026-02-25,1771990200000,81
2026-02-25,1771990320000,75
2026-02-25,1771990440000,72
2026-02-25,1771990560000,69
2026-02-25,1771990680000,68
2026-02-25,1771990800000,69
2026-02-25,1771990920000,67
2026-02-25,1771991040000,67
2026-02-25,1771991160000,67
2026-02-25,1771991280000,67
2026-02-25,1771991400000,67
2026-02-25,1771991520000,67
2026-02-25,1771991640000,67
2026-02-25,1771991760000,67
2026-02-25,1771991880000,66
2026-02-25,1771992000000,67
2026-02-25,1771992120000,67
2026-02-25,1771992240000,67
2026-02-25,1771992360000,67
2026-02-25,1771992480000,67
2026-02-25,1771992600000,67
2026-02-25,1771992720000,67
2026-02-25,1771992840000,68
2026-02-25,1771992960000,68
2026-02-25,1771993080000,68
2026-02-25,1771993200000,68
2026-02-25,1771993320000,69
2026-02-25,1771993440000,69
2026-02-25,1771993560000,70
2026-02-25,1771993680000,71
2026-02-25,1771993800000,70
2026-02-25,1771993920000,72
2026-02-25,1771994040000,74
2026-02-25,1771994160000,72
2026-02-25,1771994280000,75
2026-02-25,1771994400000,74
2026-02-25,1771994520000,75
2026-02-25,1771994640000,69
2026-02-25,1771994760000,71
2026-02-25,1771994880000,72
2026-02-25,1771995000000,68
2026-02-25,1771995120000,72
2026-02-25,1771995240000,75
2026-02-25,1771995360000,78
2026-02-25,1771995480000,77
2026-02-25,1771995600000,79
2026-02-25,1771995720000,74
2026-02-25,1771995840000,72
2026-02-25,1771995960000,68
2026-02-25,1771996080000,69
2026-02-25,1771996200000,69
2026-02-25,1771996320000,69
2026-02-25,1771996440000,70
2026-02-25,1771996560000,70
2026-02-25,1771996680000,69
2026-02-25,1771996800000,70
2026-02-25,1771996920000,69
2026-02-25,1771997040000,71
2026-02-25,1771997160000,70
2026-02-25,1771997280000,71
2026-02-25,1771997400000,70
2026-02-25,1771997520000,70
2026-02-25,1771997640000,71
2026-02-25,1771997760000,71
2026-02-25,1771997880000,71
2026-02-25,1771998000000,72
2026-02-25,1771998120000,72
2026-02-25,1771998240000,78
2026-02-25,1771998360000,76
2026-02-25,1771998480000,75
2026-02-25,1771998600000,74
2026-02-25,1771998720000,73
2026-02-25,1771998840000,74
2026-02-25,1771998960000,72
2026-02-25,1771999080000,74
2026-02-25,1771999200000,76
2026-02-25,1771999320000,73
2026-02-25,1771999440000,68
2026-02-25,1771999560000,72
2026-02-25,1771999680000,71
2026-02-25,1771999800000,73
2026-02-25,1771999920000,71
2026-02-25,1772000040000,69
2026-02-25,1772000160000,69
2026-02-25,1772000280000,71
2026-02-25,1772000400000,71
2026-02-25,1772000520000,74
2026-02-25,1772000640000,70
2026-02-25,1772000760000,69
2026-02-25,1772000880000,70
2026-02-25,1772001000000,72
2026-02-25,1772001120000,71
2026-02-25,1772001240000,76
2026-02-25,1772001360000,71
2026-02-25,1772001480000,75
2026-02-25,1772001600000,77
2026-02-25,1772001720000,74
2026-02-25,1772001840000,71
2026-02-25,1772001960000,71
2026-02-25,1772002080000,71
2026-02-25,1772002200000,70
2026-02-25,1772002320000,70
2026-02-25,1772002440000,70
2026-02-25,1772002560000,71
2026-02-25,1772002680000,70
2026-02-25,1772002800000,70
2026-02-25,1772002920000,71
2026-02-25,1772003040000,73
2026-02-25,1772003160000,70
2026-02-25,1772003280000,69
2026-02-25,1772003400000,69
2026-02-25,1772003520000,70
2026-02-25,1772003640000,68
2026-02-25,1772003760000,69
2026-02-25,1772003880000,69
2026-02-25,1772004000000,69
2026-02-25,1772004120000,69
2026-02-25,1772004240000,70
2026-02-25,1772004360000,70
2026-02-25,1772004480000,69
2026-02-25,1772004600000,70
2026-02-25,1772004720000,68
2026-02-25,1772004840000,70
2026-02-25,1772004960000,70
2026-02-25,1772005080000,69
2026-02-25,1772005200000,71
2026-02-25,1772005320000,74
2026-02-25,1772005440000,70
2026-02-25,1772005560000,76
2026-02-25,1772005680000,70
2026-02-25,1772005800000,72
2026-02-25,1772005920000,69
2026-02-25,1772006040000,70
2026-02-25,1772006160000,68
2026-02-25,1772006280000,68
2026-02-25,1772006400000,69
2026-02-26,1772056560000,73
2026-02-26,1772056680000,72
2026-02-26,1772056800000,72
2026-02-26,1772056920000,71
2026-02-26,1772057040000,71
2026-02-26,1772057160000,71
2026-02-26,1772057280000,70
2026-02-26,1772057400000,70
2026-02-26,1772057520000,71
2026-02-26,1772057640000,70
2026-02-26,1772057760000,70
2026-02-26,1772057880000,70
2026-02-26,1772058000000,69
2026-02-26,1772058120000,70
2026-02-26,1772058240000,70
2026-02-26,1772058360000,70
2026-02-26,1772058480000,71
2026-02-26,1772058600000,71
2026-02-26,1772058720000,71
2026-02-26,1772058840000,71
2026-02-26,1772058960000,72
2026-02-26,1772059080000,71
2026-02-26,1772059200000,72
2026-02-26,1772059320000,71
2026-02-26,1772059440000,72
2026-02-26,1772059560000,72
2026-02-26,1772059680000,71
2026-02-26,1772059800000,71
2026-02-26,1772059920000,71
2026-02-26,1772060040000,74
2026-02-26,1772060160000,72
2026-02-26,1772060280000,71
2026-02-26,1772060400000,71
2026-02-26,1772060520000,69
2026-02-26,1772060640000,70
2026-02-26,1772060760000,69
2026-02-26,1772060880000,69
2026-02-26,1772061000000,68
2026-02-26,1772061120000,69
2026-02-26,1772061240000,70
2026-02-26,1772061360000,72
2026-02-26,1772061480000,70
2026-02-26,1772061600000,67
2026-02-26,1772061720000,69
2026-02-26,1772061840000,68
2026-02-26,1772061960000,68
2026-02-26,1772062080000,69
2026-02-26,1772062200000,68
2026-02-26,1772062320000,68
2026-02-26,1772062440000,68
2026-02-26,1772062560000,68
2026-02-26,1772062680000,68
2026-02-26,1772062800000,69
2026-02-26,1772062920000,68
2026-02-26,1772063040000,72
2026-02-26,1772063160000,67
2026-02-26,1772063280000,67
2026-02-26,1772063400000,67
2026-02-26,1772063520000,67
2026-02-26,1772063640000,66
2026-02-26,1772063760000,66
2026-02-26,1772063880000,66
2026-02-26,1772064000000,66
2026-02-26,1772064120000,66
2026-02-26,1772064240000,66
2026-02-26,1772064360000,67
2026-02-26,1772064480000,67
2026-02-26,1772064600000,66
2026-02-26,1772064720000,67
2026-02-26,1772064840000,69
2026-02-26,1772064960000,70
2026-02-26,1772065080000,70
2026-02-26,1772065200000,68
2026-02-26,1772065320000,68
2026-02-26,1772065440000,66
2026-02-26,1772065560000,66
2026-02-26,1772065680000,77
2026-02-26,1772065800000,73
2026-02-26,1772065920000,75
2026-02-26,1772066040000,74
2026-02-26,1772066160000,75
2026-02-26,1772066280000,76
2026-02-26,1772066400000,69
2026-02-26,1772066520000,67
2026-02-26,1772066640000,66
2026-02-26,1772066760000,65
2026-02-26,1772066880000,67
2026-02-26,1772067000000,65
2026-02-26,1772067120000,67
2026-02-26,1772067240000,69
2026-02-26,1772067360000,69
2026-02-26,1772067480000,71
2026-02-26,1772067600000,72
2026-02-26,1772067720000,75
2026-02-26,1772067840000,70
2026-02-26,1772067960000,68
2026-02-26,1772068080000,67
2026-02-26,1772068200000,66
2026-02-26,1772068320000,66
2026-02-26,1772068440000,66
2026-02-26,1772068560000,66
2026-02-26,1772068680000,66
2026-02-26,1772068800000,66
2026-02-26,1772068920000,66
2026-02-26,1772069040000,65
2026-02-26,1772069160000,65
2026-02-26,1772069280000,65
2026-02-26,1772069400000,65
2026-02-26,1772069520000,65
2026-02-26,1772069640000,63
2026-02-26,1772069760000,66
2026-02-26,1772069880000,67
2026-02-26,1772070000000,66
2026-02-26,1772070120000,67
